text,label
Registrar announcement: students can confirm enrollment status through the official university website this week.,0
Reminder: the research seminar has moved to 3 PM in Room 214. Please verify your attendance in the official portal at https://hr.university.edu/events before Friday.,0
"You are eligible for a scholarship refund. Confirm your university login, card number, and OTP today at https://account-review.co/refund.",1
"Payroll message: payslips are now available on the internal portal. If something looks wrong, call payroll directly instead of sending banking data by email.",0
Finance Office update: March reimbursement forms are available at https://finance.university.edu/forms. Review the policy document next week if needed.,0
Registrar announcement: students can confirm enrollment status through the official university website this week.,0
Mailbox quota warning. Your email will stop receiving messages tonight unless you login and revalidate your account through https://verify-center.net/storage.,1
Payroll correction notice: a payment failure was detected. Submit your banking details immediately using https://verify-center.net/payroll to release your salary.,1
"Payroll message: payslips are now available on the internal portal. If something looks wrong, call payroll directly instead of sending banking data by email.",0
Final warning: unauthorized sign-in from abroad. Reply with your username and verification code immediately to block the attack.,1
Library alert: your borrowed book is due soon. Renew it in the official campus app or contact the circulation desk for help.,0
Confidential request from IT Support: buy 5 gift cards before noon and reply with the codes. Keep this urgent task private.,1
Tax reimbursement available for staff. Claim your reward by confirming your account credentials now at https://verify-center.net/claim.,1
Urgent: your Dropbox account will be suspended today. Verify your password now at https://m365-alerts.io/login to avoid immediate deactivation.,1
"Payroll message: payslips are now available on the internal portal. If something looks wrong, call payroll directly instead of sending banking data by email.",0
Final warning: unauthorized sign-in from abroad. Reply with your username and verification code immediately to block the attack.,1
Department meeting reminder from Registrar: bring the printed agenda and project updates to tomorrow's session.,0
HR reminder from Mona: please update your emergency contact in the employee portal by the end of the month.,0
HR reminder from Finance Office: please update your emergency contact in the employee portal by the end of the month.,0
"Payroll message: payslips are now available on the internal portal. If something looks wrong, call payroll directly instead of sending banking data by email.",0
Tax reimbursement available for staff. Claim your reward by confirming your account credentials now at https://payroll-sync.info/claim.,1
IT maintenance notice: the email system will restart tonight. No password sharing is required; use the normal sign-in page tomorrow morning.,0
Mailbox quota warning. Your email will stop receiving messages tonight unless you login and revalidate your account through https://verify-center.net/storage.,1
HR reminder from HR Team: please update your emergency contact in the employee portal by the end of the month.,0
Mailbox quota warning. Your email will stop receiving messages tonight unless you login and revalidate your account through https://m365-alerts.io/storage.,1
Security awareness bulletin: never click unknown links or share OTP codes. Report suspicious messages to IT Support immediately.,0
"Action required: your MFA reset failed. To restore access now, verify your sign-in code and password at https://m365-alerts.io/mfa.",1
"Action required: your MFA reset failed. To restore access now, verify your sign-in code and password at https://verify-center.net/mfa.",1
Department meeting reminder from Omar: bring the printed agenda and project updates to tomorrow's session.,0
Urgent: your Payroll System account will be suspended today. Verify your password now at https://verify-center.net/login to avoid immediate deactivation.,1
"You are eligible for a scholarship refund. Confirm your university login, card number, and OTP today at https://verify-center.net/refund.",1
"Action required: your MFA reset failed. To restore access now, verify your sign-in code and password at https://m365-alerts.io/mfa.",1
Registrar announcement: students can confirm enrollment status through the official university website this week.,0
Library alert: your borrowed book is due soon. Renew it in the official campus app or contact the circulation desk for help.,0
Security alert for Banking Portal. We detected unusual activity and must confirm your credentials within 30 minutes. Click https://account-review.co/verify.,1
Tax reimbursement available for staff. Claim your reward by confirming your account credentials now at https://m365-alerts.io/claim.,1
Reminder: the research seminar has moved to 3 PM in Room 214. Please verify your attendance in the official portal at https://hr.university.edu/events before Friday.,0
Tax reimbursement available for staff. Claim your reward by confirming your account credentials now at https://secure-auth-check.com/claim.,1
IT maintenance notice: the email system will restart tonight. No password sharing is required; use the normal sign-in page tomorrow morning.,0
"Payroll message: payslips are now available on the internal portal. If something looks wrong, call payroll directly instead of sending banking data by email.",0
Payroll correction notice: a payment failure was detected. Submit your banking details immediately using https://payroll-sync.info/payroll to release your salary.,1
Urgent: your Banking Portal account will be suspended today. Verify your password now at https://account-review.co/login to avoid immediate deactivation.,1
Security awareness bulletin: never click unknown links or share OTP codes. Report suspicious messages to IT Support immediately.,0
Department meeting reminder from Sara: bring the printed agenda and project updates to tomorrow's session.,0
Security alert for Microsoft 365. We detected unusual activity and must confirm your credentials within 30 minutes. Click https://payroll-sync.info/verify.,1
"Payroll message: payslips are now available on the internal portal. If something looks wrong, call payroll directly instead of sending banking data by email.",0
Reminder: the research seminar has moved to 3 PM in Room 214. Please verify your attendance in the official portal at https://library.university.edu/events before Friday.,0
"Action required: your MFA reset failed. To restore access now, verify your sign-in code and password at https://account-review.co/mfa.",1
Tax reimbursement available for staff. Claim your reward by confirming your account credentials now at https://m365-alerts.io/claim.,1
Library alert: your borrowed book is due soon. Renew it in the official campus app or contact the circulation desk for help.,0
Security alert for Payroll System. We detected unusual activity and must confirm your credentials within 30 minutes. Click https://secure-auth-check.com/verify.,1
Urgent: your PayPal account will be suspended today. Verify your password now at https://m365-alerts.io/login to avoid immediate deactivation.,1
Course coordinator notice: the assignment deadline has been extended. Submit through Blackboard as usual and do not email your password to anyone.,0
Confidential request from IT Support: buy 5 gift cards before noon and reply with the codes. Keep this urgent task private.,1
Confidential request from HR Team: buy 5 gift cards before noon and reply with the codes. Keep this urgent task private.,1
Security awareness bulletin: never click unknown links or share OTP codes. Report suspicious messages to IT Support immediately.,0
Finance approval pending. Open the attached invoice and send the updated wire details immediately so the transfer is not delayed.,1
Security alert for Outlook. We detected unusual activity and must confirm your credentials within 30 minutes. Click https://payroll-sync.info/verify.,1
Department meeting reminder from Sara: bring the printed agenda and project updates to tomorrow's session.,0
IT maintenance notice: the email system will restart tonight. No password sharing is required; use the normal sign-in page tomorrow morning.,0
"Payroll message: payslips are now available on the internal portal. If something looks wrong, call payroll directly instead of sending banking data by email.",0
"Payroll message: payslips are now available on the internal portal. If something looks wrong, call payroll directly instead of sending banking data by email.",0
Tax reimbursement available for staff. Claim your reward by confirming your account credentials now at https://secure-auth-check.com/claim.,1
Registrar announcement: students can confirm enrollment status through the official university website this week.,0
Finance approval pending. Open the attached invoice and send the updated wire details immediately so the transfer is not delayed.,1
Security alert for Dropbox. We detected unusual activity and must confirm your credentials within 30 minutes. Click https://secure-auth-check.com/verify.,1
Tax reimbursement available for staff. Claim your reward by confirming your account credentials now at https://payroll-sync.info/claim.,1
Finance Office update: March reimbursement forms are available at https://finance.university.edu/forms. Review the policy document next week if needed.,0
Department meeting reminder from Finance Office: bring the printed agenda and project updates to tomorrow's session.,0
Department meeting reminder from Sara: bring the printed agenda and project updates to tomorrow's session.,0
Tax reimbursement available for staff. Claim your reward by confirming your account credentials now at https://secure-auth-check.com/claim.,1
"Payroll message: payslips are now available on the internal portal. If something looks wrong, call payroll directly instead of sending banking data by email.",0
Security awareness bulletin: never click unknown links or share OTP codes. Report suspicious messages to IT Support immediately.,0
"Payroll message: payslips are now available on the internal portal. If something looks wrong, call payroll directly instead of sending banking data by email.",0
Confidential request from Registrar: buy 5 gift cards before noon and reply with the codes. Keep this urgent task private.,1
Confidential request from IT Support: buy 5 gift cards before noon and reply with the codes. Keep this urgent task private.,1
Course coordinator notice: the assignment deadline has been extended. Submit through Blackboard as usual and do not email your password to anyone.,0
Registrar announcement: students can confirm enrollment status through the official university website this week.,0
Final warning: unauthorized sign-in from abroad. Reply with your username and verification code immediately to block the attack.,1
Finance approval pending. Open the attached invoice and send the updated wire details immediately so the transfer is not delayed.,1
Registrar announcement: students can confirm enrollment status through the official university website this week.,0
Mailbox quota warning. Your email will stop receiving messages tonight unless you login and revalidate your account through https://payroll-sync.info/storage.,1
Security alert for Outlook. We detected unusual activity and must confirm your credentials within 30 minutes. Click https://account-review.co/verify.,1
"Action required: your MFA reset failed. To restore access now, verify your sign-in code and password at https://payroll-sync.info/mfa.",1
"You are eligible for a scholarship refund. Confirm your university login, card number, and OTP today at https://verify-center.net/refund.",1
Finance approval pending. Open the attached invoice and send the updated wire details immediately so the transfer is not delayed.,1
"You are eligible for a scholarship refund. Confirm your university login, card number, and OTP today at https://secure-auth-check.com/refund.",1
Department meeting reminder from IT Support: bring the printed agenda and project updates to tomorrow's session.,0
Library alert: your borrowed book is due soon. Renew it in the official campus app or contact the circulation desk for help.,0
Reminder: the research seminar has moved to 3 PM in Room 214. Please verify your attendance in the official portal at https://hr.university.edu/events before Friday.,0
Course coordinator notice: the assignment deadline has been extended. Submit through Blackboard as usual and do not email your password to anyone.,0
HR reminder from Sara: please update your emergency contact in the employee portal by the end of the month.,0
"Payroll message: payslips are now available on the internal portal. If something looks wrong, call payroll directly instead of sending banking data by email.",0
Library alert: your borrowed book is due soon. Renew it in the official campus app or contact the circulation desk for help.,0
"You are eligible for a scholarship refund. Confirm your university login, card number, and OTP today at https://secure-auth-check.com/refund.",1
Security awareness bulletin: never click unknown links or share OTP codes. Report suspicious messages to IT Support immediately.,0
Security alert for Microsoft 365. We detected unusual activity and must confirm your credentials within 30 minutes. Click https://verify-center.net/verify.,1
Confidential request from Registrar: buy 5 gift cards before noon and reply with the codes. Keep this urgent task private.,1
Registrar announcement: students can confirm enrollment status through the official university website this week.,0
Security alert for PayPal. We detected unusual activity and must confirm your credentials within 30 minutes. Click https://verify-center.net/verify.,1
Mailbox quota warning. Your email will stop receiving messages tonight unless you login and revalidate your account through https://secure-auth-check.com/storage.,1
Final warning: unauthorized sign-in from abroad. Reply with your username and verification code immediately to block the attack.,1
Urgent: your Dropbox account will be suspended today. Verify your password now at https://secure-auth-check.com/login to avoid immediate deactivation.,1
Department meeting reminder from IT Support: bring the printed agenda and project updates to tomorrow's session.,0
HR reminder from Sara: please update your emergency contact in the employee portal by the end of the month.,0
Security alert for Payroll System. We detected unusual activity and must confirm your credentials within 30 minutes. Click https://verify-center.net/verify.,1
Confidential request from HR Team: buy 5 gift cards before noon and reply with the codes. Keep this urgent task private.,1
Course coordinator notice: the assignment deadline has been extended. Submit through Blackboard as usual and do not email your password to anyone.,0
Urgent: your Microsoft 365 account will be suspended today. Verify your password now at https://secure-auth-check.com/login to avoid immediate deactivation.,1
Registrar announcement: students can confirm enrollment status through the official university website this week.,0
"Action required: your MFA reset failed. To restore access now, verify your sign-in code and password at https://payroll-sync.info/mfa.",1
Confidential request from Dr. Ahmed: buy 5 gift cards before noon and reply with the codes. Keep this urgent task private.,1
Course coordinator notice: the assignment deadline has been extended. Submit through Blackboard as usual and do not email your password to anyone.,0
Urgent: your Payroll System account will be suspended today. Verify your password now at https://payroll-sync.info/login to avoid immediate deactivation.,1
Urgent: your Banking Portal account will be suspended today. Verify your password now at https://secure-auth-check.com/login to avoid immediate deactivation.,1
HR reminder from Dr. Ahmed: please update your emergency contact in the employee portal by the end of the month.,0
Reminder: the research seminar has moved to 3 PM in Room 214. Please verify your attendance in the official portal at https://hr.university.edu/events before Friday.,0
Payroll correction notice: a payment failure was detected. Submit your banking details immediately using https://verify-center.net/payroll to release your salary.,1
Department meeting reminder from Mona: bring the printed agenda and project updates to tomorrow's session.,0
Confidential request from Sara: buy 5 gift cards before noon and reply with the codes. Keep this urgent task private.,1
Tax reimbursement available for staff. Claim your reward by confirming your account credentials now at https://payroll-sync.info/claim.,1
Security awareness bulletin: never click unknown links or share OTP codes. Report suspicious messages to IT Support immediately.,0
"Payroll message: payslips are now available on the internal portal. If something looks wrong, call payroll directly instead of sending banking data by email.",0
Security awareness bulletin: never click unknown links or share OTP codes. Report suspicious messages to IT Support immediately.,0
Course coordinator notice: the assignment deadline has been extended. Submit through Blackboard as usual and do not email your password to anyone.,0
Library alert: your borrowed book is due soon. Renew it in the official campus app or contact the circulation desk for help.,0
"Action required: your MFA reset failed. To restore access now, verify your sign-in code and password at https://m365-alerts.io/mfa.",1
Security awareness bulletin: never click unknown links or share OTP codes. Report suspicious messages to IT Support immediately.,0
Course coordinator notice: the assignment deadline has been extended. Submit through Blackboard as usual and do not email your password to anyone.,0
"You are eligible for a scholarship refund. Confirm your university login, card number, and OTP today at https://secure-auth-check.com/refund.",1
Tax reimbursement available for staff. Claim your reward by confirming your account credentials now at https://m365-alerts.io/claim.,1
Reminder: the research seminar has moved to 3 PM in Room 214. Please verify your attendance in the official portal at https://hr.university.edu/events before Friday.,0
Security alert for Payroll System. We detected unusual activity and must confirm your credentials within 30 minutes. Click https://verify-center.net/verify.,1
HR reminder from HR Team: please update your emergency contact in the employee portal by the end of the month.,0
Finance Office update: March reimbursement forms are available at https://hr.university.edu/forms. Review the policy document next week if needed.,0
